Timestamp (ms), S1_X_g, S1_Y_g, S1_Z_g, S2_X_g, S2_Y_g, S2_Z_g
9855, -0.336, 0.192, -0.828, 0.448, 0.260, -0.988
9891, -0.332, 0.172, -0.884, 0.200, 0.440, -0.816
9926, -0.304, 0.376, -0.980, 0.104, 0.264, -1.024
9961, -0.164, 0.320, -0.908, 0.072, 0.236, -0.800
9997, -0.208, 0.320, -0.936, -0.420, 1.200, -0.412
10032, -0.316, 0.360, -1.012, 0.300, -0.204, -0.836
10067, -0.236, 0.308, -0.924, 0.260, 0.080, -1.072
10102, -0.164, 0.400, -0.972, 1.544, -0.004, -1.280
10137, -0.240, 0.172, -0.872, -1.200, 0.992, -1.204
10173, -0.284, 0.244, -0.932, -0.244, 0.188, -0.900
10208, -0.272, 0.272, -0.900, -0.180, 0.336, -1.032
10244, -0.252, 0.288, -0.948, 1.468, 0.104, -1.020
10278, -0.240, 0.324, -0.924, -0.632, 0.480, -1.012
10313, -0.264, 0.280, -0.924, -0.512, 0.264, -0.896
10349, -0.236, 0.316, -0.948, -0.456, 0.428, -0.908
10384, -0.304, 0.288, -0.936, 2.028, 0.128, -1.132
10420, -0.236, 0.296, -1.028, -1.004, 0.576, -0.912
10454, -0.264, 0.284, -0.948, -0.304, 0.180, -0.880
10490, -0.248, 0.316, -0.928, -0.720, 0.344, -0.816
10525, -0.256, 0.288, -0.920, 0.504, 0.420, -1.136
10560, -0.244, 0.300, -0.940, 0.260, 0.120, -0.980
10596, -0.236, 0.300, -0.920, -0.512, 0.336, -1.012
10631, -1.168, 0.272, -0.572, 0.356, 0.572, -0.932
10666, -0.480, 0.416, -0.768, 0.408, 0.720, -0.980
10701, 0.848, 0.280, -0.920, -0.400, -0.076, -1.448
10736, -0.660, 0.192, -0.952, 0.632, 0.392, -0.964
10772, -0.304, 0.356, -1.000, -0.340, 0.340, -0.984
10807, -0.208, 0.320, -1.260, -0.184, 0.128, -0.908
10843, -0.392, 0.568, -1.044, 0.100, 0.956, -1.336
10877, -0.856, 1.048, -1.436, 0.264, 0.536, -1.016
10912, -0.604, 0.416, -0.588, -0.524, 0.364, -0.596
10948, -0.252, -0.748, -1.480, -0.644, -0.436, -1.656
10983, -0.148, 0.488, -0.856, 0.436, 0.604, -0.876
11019, 0.076, 0.268, -0.896, -0.180, 0.764, -1.048
11053, -0.716, 0.492, -0.808, -0.432, 0.404, -1.036
11089, -0.224, 0.148, -0.788, 0.032, 0.004, -0.812
11124, 0.232, 0.156, -1.004, 0.420, 0.572, -1.024
11159, -0.564, 0.604, -0.788, -0.180, 0.780, -0.892
11195, -0.516, 0.488, -0.776, -0.560, 0.252, -0.780
11230, -1.176, 0.688, -0.708, -1.024, 0.464, -0.860
11265, 0.072, 0.128, -1.052, 0.236, 0.172, -0.968
11300, -0.112, 0.572, -0.868, 0.544, 0.892, -1.192
11335, -0.968, 0.744, -0.732, -1.344, 0.464, -0.904
11371, -0.700, 0.128, -0.856, -0.492, -0.068, -0.656
11406, 1.428, -0.188, -1.136, 1.828, 0.844, -1.344
11442, -0.804, 0.512, -0.660, -1.192, 0.744, -1.152
11476, -1.772, 0.816, -0.792, -1.732, 0.084, -0.788
11512, 0.268, 0.096, -1.240, 0.368, -0.260, -0.852
11547, 1.800, -0.164, -1.060, 2.304, 1.348, -1.536
11582, -1.188, 0.620, -0.784, -1.228, 0.784, -1.448
11618, -1.956, 0.292, -0.744, -2.036, -0.164, -0.772
11653, 0.784, 0.308, -1.504, -0.204, -0.732, -0.500
11688, 1.504, 0.260, -0.956, 2.152, 1.732, -1.568
11723, -1.068, 0.012, -0.784, -0.348, 0.744, -1.716
11759, -1.952, 0.588, -0.900, -2.224, 0.012, -0.552
11794, 2.192, 0.184, -1.600, -1.256, -0.384, -0.708
11830, -0.436, 0.792, -0.680, 2.616, 1.800, -1.244
11864, -1.240, -0.164, -0.788, -0.340, 0.428, -1.448
11899, -2.228, 0.248, -0.776, -2.276, -0.080, -0.380
11935, 2.552, 0.520, -1.688, -1.500, -0.188, -0.820
11970, -0.172, 0.408, -0.800, 1.148, 0.500, -1.076
12006, -0.688, 0.012, -0.840, 1.652, 2.032, -2.136
12041, -2.092, 0.568, -0.888, -2.044, -0.356, -1.384
12076, 0.900, -0.336, -1.364, -1.896, -0.384, -0.916
12111, -0.884, 0.912, -0.840, 1.436, 0.588, -0.736
12146, -0.736, -0.236, -0.880, 0.876, 1.244, -1.440
12182, -1.436, 0.616, -0.968, -2.232, -0.756, -1.012
12217, 1.924, -0.164, -1.476, -0.660, 0.920, -0.912
12253, -0.844, 0.816, -0.936, 2.864, 1.560, -1.260
12287, -1.276, -0.148, -0.820, -1.784, -0.184, -1.412
12323, -0.860, -0.016, -1.120, -2.040, -0.436, -0.724
12358, 2.092, 0.204, -1.232, 0.712, 0.204, -1.020
12393, -1.280, 0.448, -0.820, 2.192, 1.516, -1.284
12429, -1.584, 0.016, -0.860, -0.972, 0.140, -1.256
12464, 2.260, -0.808, -1.332, -1.980, 0.036, -0.548
12499, 0.196, 1.260, -1.108, 1.152, 0.648, -1.116
12534, -0.484, -0.460, -0.952, 0.984, 1.452, -1.616
12570, -1.804, 0.772, -1.028, -1.764, -0.676, -1.248
12605, 2.956, -0.640, -1.516, -1.640, -0.440, -0.704
12641, -0.736, 0.828, -0.908, 1.784, 1.404, -1.272
12676, -0.772, -0.708, -0.840, 0.124, 1.084, -1.268
12710, -1.528, 0.716, -0.892, -2.336, -1.064, -0.292
12746, 0.720, 0.204, -1.228, -1.760, 0.396, -0.692
12781, 0.544, 0.388, -1.096, 1.968, 1.252, -1.464
12817, -0.532, -0.016, -0.920, 0.852, 1.616, -1.572
12852, -0.692, 0.232, -0.868, -1.360, -0.472, -0.996
12887, 0.172, 0.200, -1.168, -1.300, -0.172, -0.580
