Timestamp (ms), S1_X_g, S1_Y_g, S1_Z_g, S2_X_g, S2_Y_g, S2_Z_g
12750, -0.332, 0.220, -0.932, -0.148, 0.472, -1.120
12786, -0.332, 0.224, -0.936, -0.144, 0.476, -1.120
12821, -0.332, 0.220, -0.932, -0.148, 0.476, -1.124
12857, -0.328, 0.220, -0.932, -0.152, 0.476, -1.112
12892, -0.332, 0.220, -0.936, -0.136, 0.480, -1.116
12926, -0.332, 0.220, -0.932, -0.148, 0.480, -1.124
12962, -0.328, 0.220, -0.928, -0.152, 0.476, -1.124
12997, -0.332, 0.224, -0.936, -0.148, 0.480, -1.116
13033, -0.332, 0.220, -0.928, -0.148, 0.476, -1.124
13068, -0.332, 0.220, -0.932, -0.148, 0.472, -1.132
13104, -0.332, 0.224, -0.932, -0.144, 0.476, -1.136
13138, -0.336, 0.220, -0.932, -0.144, 0.476, -1.120
13173, -0.332, 0.224, -0.928, -0.144, 0.480, -1.128
13209, -0.332, 0.224, -0.936, -0.144, 0.476, -1.120
13244, -0.332, 0.224, -0.932, -0.140, 0.476, -1.120
13280, -0.332, 0.220, -0.932, -0.144, 0.472, -1.124
13314, -0.328, 0.220, -0.932, -0.156, 0.468, -1.116
13350, -0.328, 0.220, -0.932, -0.152, 0.476, -1.116
13385, -0.328, 0.220, -0.928, -0.144, 0.476, -1.120
13420, -0.328, 0.220, -0.928, -0.144, 0.476, -1.116
13456, -0.328, 0.224, -0.936, -0.140, 0.476, -1.124
13491, -0.332, 0.220, -0.928, -0.148, 0.476, -1.120
13526, -0.332, 0.224, -0.932, -0.152, 0.476, -1.116
13561, -0.328, 0.220, -0.928, -0.148, 0.476, -1.112
13597, -0.332, 0.220, -0.936, -0.144, 0.476, -1.124
13632, -0.328, 0.220, -0.936, -0.152, 0.476, -1.112
13667, -0.332, 0.220, -0.932, -0.144, 0.480, -1.136
13703, -0.336, 0.220, -0.936, -0.148, 0.476, -1.124
13737, -0.332, 0.224, -0.928, -0.152, 0.476, -1.112
13773, -0.328, 0.220, -0.936, -0.148, 0.476, -1.124
13808, -0.332, 0.224, -0.932, -0.148, 0.480, -1.112
13844, -0.332, 0.224, -0.932, -0.144, 0.476, -1.116
13879, -0.328, 0.224, -0.936, -0.152, 0.472, -1.120
13915, -0.332, 0.224, -0.928, -0.148, 0.484, -1.128
13949, -0.332, 0.224, -0.936, -0.148, 0.476, -1.116
13984, -0.332, 0.224, -0.932, -0.140, 0.480, -1.112
14020, -0.332, 0.224, -0.932, -0.144, 0.480, -1.144
14055, -0.328, 0.224, -0.928, -0.148, 0.484, -1.120
14091, -0.328, 0.224, -0.936, -0.152, 0.484, -1.116
14125, -0.328, 0.216, -0.936, -0.152, 0.472, -1.124
14161, -0.328, 0.224, -0.932, -0.152, 0.472, -1.132
14196, -0.328, 0.224, -0.936, -0.144, 0.476, -1.136
14231, -0.332, 0.220, -0.928, -0.152, 0.480, -1.120
14267, -0.328, 0.224, -0.924, -0.148, 0.472, -1.116
14302, -0.332, 0.220, -0.928, -0.148, 0.476, -1.112
14337, -0.332, 0.220, -0.928, -0.148, 0.476, -1.120
14372, -0.328, 0.220, -0.928, -0.148, 0.472, -1.116
14408, -0.328, 0.224, -0.936, -0.148, 0.476, -1.112
14443, -0.328, 0.220, -0.932, -0.144, 0.472, -1.128
14478, -0.336, 0.220, -0.932, -0.144, 0.476, -1.112
14514, -0.328, 0.224, -0.932, -0.148, 0.480, -1.120
14548, -0.332, 0.220, -0.932, -0.144, 0.476, -1.124
14584, -0.332, 0.224, -0.932, -0.148, 0.476, -1.120
14619, -0.332, 0.224, -0.932, -0.148, 0.472, -1.116
14655, -0.332, 0.224, -0.932, -0.140, 0.480, -1.112
14690, -0.332, 0.220, -0.932, -0.148, 0.476, -1.120
