Timestamp (ms), S1_X_g, S1_Y_g, S1_Z_g, S2_X_g, S2_Y_g, S2_Z_g
12256, -0.328, 0.164, -0.944, -0.136, 0.404, -1.136
12292, -0.328, 0.164, -0.944, -0.144, 0.392, -1.124
12326, -0.328, 0.168, -0.944, -0.132, 0.404, -1.144
12362, -0.332, 0.164, -0.944, -0.136, 0.408, -1.124
12397, -0.336, 0.168, -0.940, -0.136, 0.404, -1.136
12432, -0.332, 0.164, -0.940, -0.140, 0.404, -1.144
12468, -0.332, 0.164, -0.948, -0.128, 0.400, -1.152
12502, -0.328, 0.164, -0.944, -0.136, 0.404, -1.148
12538, -0.336, 0.168, -0.944, -0.136, 0.408, -1.144
12573, -0.332, 0.164, -0.948, -0.132, 0.404, -1.140
12609, -0.332, 0.172, -0.944, -0.132, 0.408, -1.144
12644, -0.332, 0.168, -0.944, -0.144, 0.400, -1.140
12679, -0.336, 0.168, -0.944, -0.140, 0.404, -1.144
12714, -0.332, 0.164, -0.944, -0.136, 0.396, -1.140
12749, -0.332, 0.168, -0.944, -0.140, 0.400, -1.144
12785, -0.332, 0.164, -0.948, -0.136, 0.404, -1.136
12820, -0.332, 0.172, -0.940, -0.136, 0.400, -1.144
12856, -0.332, 0.164, -0.944, -0.136, 0.408, -1.144
12891, -0.328, 0.168, -0.940, -0.136, 0.404, -1.144
12925, -0.336, 0.164, -0.944, -0.132, 0.404, -1.132
12961, -0.332, 0.164, -0.940, -0.136, 0.404, -1.148
12996, -0.336, 0.168, -0.944, -0.132, 0.404, -1.136
13032, -0.332, 0.164, -0.944, -0.136, 0.404, -1.148
13067, -0.336, 0.168, -0.948, -0.128, 0.412, -1.148
13103, -0.332, 0.168, -0.944, -0.144, 0.400, -1.132
13137, -0.332, 0.168, -0.944, -0.136, 0.404, -1.136
13172, -0.328, 0.164, -0.944, -0.136, 0.404, -1.136
13208, -0.332, 0.168, -0.940, -0.140, 0.400, -1.132
13243, -0.332, 0.168, -0.944, -0.132, 0.404, -1.128
13279, -0.336, 0.168, -0.944, -0.132, 0.408, -1.144
13313, -0.332, 0.164, -0.944, -0.140, 0.404, -1.132
13348, -0.328, 0.164, -0.944, -0.136, 0.408, -1.148
13384, -0.332, 0.164, -0.940, -0.132, 0.404, -1.136
13419, -0.332, 0.164, -0.944, -0.144, 0.396, -1.136
13455, -0.332, 0.164, -0.940, -0.128, 0.408, -1.148
13490, -0.332, 0.164, -0.944, -0.136, 0.400, -1.136
13525, -0.332, 0.168, -0.944, -0.128, 0.404, -1.152
13560, -0.332, 0.164, -0.944, -0.140, 0.408, -1.140
13595, -0.332, 0.168, -0.940, -0.132, 0.400, -1.152
13631, -0.332, 0.168, -0.944, -0.136, 0.400, -1.140
13666, -0.336, 0.168, -0.944, -0.132, 0.400, -1.140
13702, -0.332, 0.168, -0.944, -0.136, 0.400, -1.140
13736, -0.328, 0.164, -0.940, -0.136, 0.412, -1.144
13772, -0.332, 0.164, -0.940, -0.136, 0.404, -1.144
13807, -0.332, 0.168, -0.948, -0.136, 0.412, -1.136
13842, -0.328, 0.164, -0.940, -0.136, 0.400, -1.132
13878, -0.328, 0.168, -0.948, -0.140, 0.404, -1.136
13912, -0.336, 0.164, -0.940, -0.128, 0.408, -1.136
13948, -0.332, 0.168, -0.940, -0.132, 0.400, -1.136
13983, -0.328, 0.164, -0.940, -0.140, 0.404, -1.140
14019, -0.336, 0.172, -0.944, -0.132, 0.412, -1.136
14054, -0.328, 0.168, -0.940, -0.136, 0.408, -1.132
14089, -0.332, 0.168, -0.944, -0.132, 0.404, -1.144
14124, -0.332, 0.168, -0.944, -0.140, 0.404, -1.148
14159, -0.328, 0.164, -0.944, -0.136, 0.404, -1.144
14195, -0.332, 0.168, -0.944, -0.140, 0.400, -1.132
14230, -0.328, 0.168, -0.944, -0.140, 0.400, -1.156
14265, -0.332, 0.164, -0.948, -0.140, 0.400, -1.140
14301, -0.332, 0.168, -0.944, -0.132, 0.412, -1.136
14335, -0.332, 0.164, -0.948, -0.128, 0.404, -1.144
14371, -0.332, 0.168, -0.944, -0.132, 0.404, -1.140
14406, -0.332, 0.164, -0.944, -0.136, 0.404, -1.140
14442, -0.332, 0.168, -0.940, -0.132, 0.408, -1.148
14477, -0.328, 0.164, -0.944, -0.128, 0.408, -1.148
14512, -0.332, 0.168, -0.944, -0.136, 0.404, -1.136
14547, -0.336, 0.168, -0.944, -0.144, 0.400, -1.136
14582, -0.332, 0.164, -0.948, -0.136, 0.404, -1.140
14618, -0.336, 0.168, -0.944, -0.132, 0.404, -1.144
14653, -0.336, 0.168, -0.944, -0.136, 0.408, -1.120
14689, -0.332, 0.172, -0.944, -0.140, 0.396, -1.140
