Timestamp (ms), S1_X_g, S1_Y_g, S1_Z_g, S2_X_g, S2_Y_g, S2_Z_g
8870, 0.176, 0.280, -0.928, -0.928, 0.412, -0.584
8905, 0.172, 0.280, -0.924, -0.924, 0.408, -0.584
8940, 0.176, 0.280, -0.928, -0.924, 0.408, -0.584
8976, 0.172, 0.280, -0.932, -0.924, 0.408, -0.580
9011, 0.172, 0.284, -0.928, -0.924, 0.412, -0.584
9045, 0.172, 0.280, -0.928, -0.924, 0.412, -0.588
9081, 0.176, 0.276, -0.924, -0.924, 0.416, -0.588
9116, 0.172, 0.280, -0.928, -0.924, 0.412, -0.588
9152, 0.176, 0.284, -0.924, -0.928, 0.416, -0.588
9187, 0.172, 0.280, -0.932, -0.924, 0.408, -0.584
9222, 0.176, 0.280, -0.928, -0.924, 0.408, -0.588
9257, 0.176, 0.276, -0.924, -0.924, 0.408, -0.584
9292, 0.172, 0.284, -0.928, -0.924, 0.416, -0.584
9327, 0.176, 0.280, -0.924, -0.920, 0.412, -0.588
9363, 0.176, 0.280, -0.932, -0.928, 0.412, -0.588
9398, 0.176, 0.280, -0.928, -0.924, 0.408, -0.584
9432, 0.172, 0.288, -0.932, -0.924, 0.412, -0.588
9468, 0.176, 0.280, -0.928, -0.920, 0.408, -0.584
9503, 0.176, 0.284, -0.928, -0.920, 0.404, -0.588
9539, 0.172, 0.280, -0.924, -0.924, 0.408, -0.584
9574, 0.172, 0.280, -0.924, -0.924, 0.408, -0.580
9609, 0.172, 0.280, -0.928, -0.928, 0.416, -0.592
9644, 0.180, 0.276, -0.928, -0.924, 0.412, -0.588
9679, 0.172, 0.276, -0.928, -0.928, 0.412, -0.588
9714, 0.172, 0.276, -0.932, -0.924, 0.412, -0.588
9750, 0.172, 0.280, -0.928, -0.928, 0.412, -0.584
9785, 0.176, 0.276, -0.928, -0.924, 0.412, -0.588
9821, 0.172, 0.276, -0.928, -0.928, 0.412, -0.588
9855, 0.172, 0.280, -0.928, -0.928, 0.412, -0.588
9890, 0.172, 0.280, -0.928, -0.928, 0.412, -0.588
9926, 0.172, 0.284, -0.928, -0.924, 0.412, -0.588
9961, 0.176, 0.280, -0.924, -0.924, 0.412, -0.588
9996, 0.172, 0.280, -0.928, -0.924, 0.412, -0.584
10031, 0.172, 0.284, -0.928, -0.924, 0.412, -0.584
10066, 0.176, 0.284, -0.928, -0.924, 0.412, -0.584
10102, 0.168, 0.284, -0.928, -0.924, 0.412, -0.584
10137, 0.172, 0.276, -0.928, -0.916, 0.412, -0.584
10172, 0.168, 0.280, -0.924, -0.924, 0.408, -0.588
10208, 0.172, 0.280, -0.928, -0.924, 0.412, -0.588
10242, 0.172, 0.280, -0.924, -0.924, 0.412, -0.588
10278, 0.176, 0.276, -0.928, -0.928, 0.408, -0.588
10313, 0.176, 0.280, -0.924, -0.924, 0.412, -0.592
10348, 0.172, 0.276, -0.928, -0.924, 0.408, -0.584
10384, 0.172, 0.284, -0.920, -0.920, 0.412, -0.584
10419, 0.172, 0.280, -0.928, -0.928, 0.408, -0.588
10454, 0.172, 0.276, -0.928, -0.920, 0.408, -0.584
10489, 0.172, 0.280, -0.924, -0.924, 0.412, -0.584
10524, 0.168, 0.280, -0.924, -0.924, 0.408, -0.588
10560, 0.172, 0.280, -0.928, -0.924, 0.412, -0.588
10595, 0.176, 0.284, -0.928, -0.924, 0.412, -0.580
10631, 0.176, 0.280, -0.928, -0.928, 0.412, -0.588
10665, 0.172, 0.280, -0.924, -0.924, 0.412, -0.584
10700, 0.172, 0.280, -0.928, -0.924, 0.412, -0.588
10736, 0.176, 0.280, -0.928, -0.920, 0.408, -0.588
10771, 0.176, 0.280, -0.932, -0.924, 0.412, -0.588
10807, 0.176, 0.276, -0.924, -0.928, 0.408, -0.580
10841, 0.172, 0.280, -0.928, -0.924, 0.412, -0.588
10877, 0.176, 0.276, -0.928, -0.924, 0.408, -0.592
10912, 0.172, 0.284, -0.924, -0.924, 0.408, -0.588
10947, 0.172, 0.280, -0.932, -0.924, 0.412, -0.588
